"","data.sa3_name","drive_time.origin","data.state","drive_time.time_mins","data.mean"
"300","Mid West","2, Foreshore Business Centre, 209 Foreshore Dr, Geraldton WA 6530, Australia","WA",269.78,59795.5015
"301","Brighton","Brighton TAS 7030, Australia","Tas",27.17,47420.1705
"302","Hobart - North East","Hobart TAS 7000, Australia","Tas",0,53325.5133
"303","Hobart - North West","North Hobart TAS 7000, Australia","Tas",5.22,46054.3089
"304","Hobart - South and West","Hobart TAS 7000, Australia","Tas",0,53430.4079
"305","Hobart Inner","374 Murray St, North Hobart TAS 7000, Australia","Tas",4.5,62954.6144
"306","Sorell - Dodges Ferry","Dodges Ferry TAS 7173, Australia","Tas",34.8,46708.2263
"307","Launceston","Launceston TAS 7250, Australia","Tas",145.78,50537.9951
"308","Meander Valley - West Tamar","Valley Rd, Sidmouth TAS 7270, Australia","Tas",177.42,44856.9482
"309","North East","North East Isle, Tasmania, Australia","Tas",NA,45401.5074
"310","Central Highlands (Tas.)","Central Highlands, TAS, Australia","Tas",84.05,43992.1257
"311","Huon - Bruny Island","Bruny Island, Tasmania, Australia","Tas",109.52,42612.8733
"312","South East Coast","South East Cape, Tasmania, Australia","Tas",NA,39782.9509
"313","Burnie - Ulverstone","57 Water St, Ulverstone TAS 7315, Australia","Tas",202.43,48047.3063
"314","Devonport","Devonport TAS 7310, Australia","Tas",193.78,46439.2944
"315","West Coast","West Coast, TAS, Australia","Tas",313.6,49051.6163
"316","Darwin City","Darwin City NT 0800, Australia","NT",0,66652.707
"317","Darwin Suburbs","","NT",NA,62913.3261
"318","Litchfield","Litchfield National Park, Litchfield Park Road, Litchfield Park NT 0822, Australia","NT",80.73,63007.0617
"319","Palmerston","Palmerston City NT 0830, Australia","NT",20.87,62221.4681
"320","Alice Springs","Alice Springs NT 0870, Australia","NT",1010.77,57799.1564
"321","Barkly","Barkly, NT, Australia","NT",NA,51569.0867
"322","Daly - Tiwi - West Arnhem","","NT",NA,49919.7865
